==================================================================
fastsimcoal started on 26/06/2025 at 16:00:21

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
237	1	data unknown	3605.25	0	0
238	1	data unknown	4080.53	0	0
239	1	data unknown	21417.7	0	0
240	1	data unknown	3105.64	0	0
241	1	data unknown	11316.3	0	0
242	1	data unknown	2026.47	0	0
243	1	data unknown	2035.78	0	0
244	1	data unknown	2008.6	0	0
245	1	data unknown	53.5202	0	0
246	1	data unknown	17308.3	0	0
247	1	data unknown	8634.47	0	0
248	1	data unknown	3125.67	0	0
249	1	data unknown	9874.52	0	0
250	1	data unknown	347.061	0	0
251	1	data unknown	26407.3	0	0
252	1	data unknown	1007.19	0	0
253	1	data unknown	1494.87	0	0
254	1	data unknown	7663.17	0	0
255	1	data unknown	2019.74	0	0
256	1	data unknown	7550.11	0	0
257	1	data unknown	2026.21	0	0
258	1	data unknown	10896.5	0	0
259	1	data unknown	12113.7	0	0
260	1	data unknown	5991.96	0	0
261	1	data unknown	909.5	0	0
262	1	data unknown	3366.8	0	0
263	1	data unknown	5433.41	0	0
264	1	data unknown	2021.41	0	0
265	1	data unknown	262.604	0	0
266	1	data unknown	2024.58	0	0
267	1	data unknown	2039.55	0	0
268	1	data unknown	2039.53	0	0
269	1	data unknown	2038.54	0	0
270	1	data unknown	107.079	0	0
271	1	data unknown	6955.62	0	0
272	1	data unknown	2029.95	0	0
273	1	data unknown	12861.3	0	0
274	1	data unknown	2000.37	0	0
275	1	data unknown	5873.05	0	0
276	1	data unknown	10148.6	0	0
277	1	data unknown	6144.16	0	0
278	1	data unknown	17731.8	0	0
279	1	data unknown	1377.41	0	0
280	1	data unknown	1093.06	0	0
281	1	data unknown	1680.11	0	0
282	1	data unknown	7241.76	0	0
283	1	data unknown	776.978	0	0
284	1	data unknown	316.811	0	0
285	1	data unknown	13040.6	0	0
286	1	data unknown	330.467	0	0
287	1	data unknown	7253.21	0	0
288	1	data unknown	2803.75	0	0
289	1	data unknown	16029.2	0	0
290	1	data unknown	2023.62	0	0
291	1	data unknown	2019.7	0	0
292	1	data unknown	2319.09	0	0
293	1	data unknown	10904	0	0
294	1	data unknown	9652.01	0	0
295	1	data unknown	16015.3	0	0
296	1	data unknown	6929.84	0	0
297	1	data unknown	2546.6	0	0
298	1	data unknown	19381.1	0	0
299	1	data unknown	3481.81	0	0
300	1	data unknown	12493.9	0	0
301	1	data unknown	1724.36	0	0
302	1	data unknown	23063.8	0	0
303	1	data unknown	2006.76	0	0
304	1	data unknown	5973.61	0	0
305	1	data unknown	586.128	0	0
306	1	data unknown	12241.5	0	0
307	1	data unknown	12186.6	0	0
308	1	data unknown	47779	0	0
309	1	data unknown	30350.8	0	0
310	1	data unknown	123.253	0	0
311	1	data unknown	30496.8	0	0
312	1	data unknown	6388.46	0	0
313	1	data unknown	392.647	0	0
314	1	data unknown	2016.86	0	0
315	1	data unknown	21215	0	0
316	1	data unknown	33196.1	0	0
317	1	data unknown	16730	0	0
318	1	data unknown	1824.68	0	0
319	1	data unknown	4191.34	0	0
320	1	data unknown	21965	0	0
321	1	data unknown	3180.33	0	0
322	1	data unknown	2004.15	0	0
323	1	data unknown	50195.8	0	0
324	1	data unknown	2007.8	0	0
325	1	data unknown	6298.09	0	0
326	1	data unknown	13781.2	0	0
327	1	data unknown	13621.4	0	0
328	1	data unknown	3638.06	0	0
329	1	data unknown	2045.14	0	0
330	1	data unknown	1069.76	0	0
331	1	data unknown	14762.3	0	0
332	1	data unknown	2794.29	0	0
333	1	data unknown	2025.66	0	0
334	1	data unknown	5866.68	0	0
335	1	data unknown	2016.51	0	0
336	1	data unknown	12959.7	0	0
337	1	data unknown	2048.19	0	0
338	1	data unknown	8023.85	0	0
339	1	data unknown	10596.6	0	0
340	1	data unknown	2002.23	0	0
341	1	data unknown	2012.98	0	0
342	1	data unknown	3245.76	0	0
343	1	data unknown	79.4601	0	0
344	1	data unknown	2042.23	0	0
345	1	data unknown	2590.08	0	0
346	1	data unknown	2084.68	0	0
347	1	data unknown	1731.19	0	0
348	1	data unknown	32454.2	0	0
349	1	data unknown	27202.3	0	0
350	1	data unknown	7949.81	0	0
351	1	data unknown	2036.7	0	0
352	1	data unknown	2033.71	0	0
353	1	data unknown	8864.27	0	0
354	1	data unknown	2006.6	0	0
355	1	data unknown	370.522	0	0
356	1	data unknown	23544.4	0	0
357	1	data unknown	9614.43	0	0
358	1	data unknown	123.711	0	0
359	1	data unknown	2032.72	0	0
360	1	data unknown	30159	0	0
361	1	data unknown	11963.3	0	0
