N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,7703,0,0.0891885152762305,0.09931567999999869,0.3863,0.1831,0.09225926530612055,0.07384212244897977,0.25564000201419923,2.9524282254456353
150000,5000,9483,0,0.23779322869607245,0.09912743999999869,0.3896,0.1183,0.09707518367346701,0.025005959183672846,0.4253392618486303,-0.1945763790193175
150000,5000,8803,0,0.15713889774649992,0.09600839999999833,0.4036,0.0961,0.099239346938773,0.040625877551021074,0.371495818537513,3.266326368665293
150000,5000,7837,0,0.16066497227074916,0.10043455999999887,0.3947,0.1521,0.09527093877550755,0.049987591836735075,0.2974617713482978,1.7277886660726145
150000,5000,4964,0,0.06438735297491949,0.10349559999999793,0.4261,0.2148,0.10172473469387448,0.0802236734693868,0.2541232914054959,2.4642435988077427
150000,5000,5905,0,0.10777379613510996,0.09622863999999827,0.3994,0.1526,0.09470416326530354,0.060305306122448415,0.2275457557138307,2.8185564105697134
150000,5000,5661,0,0.26519373783297173,0.09788367999999834,0.3995,0.1065,0.09447314285714013,0.01922571428571387,0.21707925178542906,-0.6998679444145832
150000,5000,4059,0,0.08860012737773648,0.10220599999999827,0.4153,0.2125,0.09853330612244589,0.07260489795918368,0.22988473144558524,1.9424063322315033
150000,5000,7804,0,0.1012213731830881,0.10579159999999838,0.4096,0.1593,0.10253077551020158,0.07015608163265212,0.4442830204541895,3.5601317493790465
150000,5000,9033,0,0.10214709425267865,0.10062791999999889,0.3721,0.1527,0.09876914285714058,0.06518187755102017,0.6923897336085046,3.337854420631434
150000,5000,9688,0,0.16166562116830208,0.09655183999999928,0.3825,0.1467,0.09890367346938561,0.04045265306122437,0.5797156005217017,0.8605351571857432
150000,5000,8348,0,0.2351901813379662,0.10211143999999862,0.399,0.0951,0.09740155102040604,0.029049959183673087,0.3424178680760935,1.34605450696601
150000,5000,9457,0,0.24889463416619684,0.1047458399999981,0.4027,0.1073,0.09962702040816097,0.026364653061224562,0.39631814535677806,0.3678024011741244
150000,5000,9175,0,0.1758341551474748,0.10292359999999846,0.4112,0.1019,0.10024114285714004,0.0440413061224494,0.3368930797381149,3.4217908306629563
